,Customers,Sales_Amount,Transaction,Avg_Transaction_Value,DaysSinceLastPurchase,Recency,Frequency,Monetary,Segment
212,01dceb72-bc1a-4d29-85e1-35317e9aa895,4.35,1,4.35,95,3,3,3,Inactive Accounts
213,01e02ddb-681c-46a7-8184-357c05a7d207,132.79999999999995,4,33.19999999999999,20,1,2,1,Big spenders
214,01e14aa9-893b-495e-959f-3534df82e16f,13.1,1,13.1,36,2,3,2,Lappsed
215,01e92bd9-c150-44c6-8dbe-3567fd7c74f3,4.35,1,4.35,132,3,3,3,Inactive Accounts
216,01ee9057-8b9c-484c-99b1-354e62854916,173.3999999999999,6,28.89999999999998,70,3,1,1,Loyal Lapsed
217,01ee9555-1c6e-4abb-a65a-35646a29077e,7.2,1,7.2,129,3,3,3,Inactive Accounts
218,01eeee3d-38db-4e5a-b112-357ad26ab829,452.09999999999985,11,41.09999999999999,4,1,1,1,Best Customers
219,01f038ab-fee7-4184-a3cb-357940f37801,4.35,1,4.35,45,2,3,3,Lappsed
220,01f3aa76-4ac6-4803-82ad-356b4ddd7e9f,16.6,2,8.3,3,1,2,2,Recent low value
221,01f654f2-160c-4b4a-bd8e-3568b253b7b9,110.50000000000003,5,22.100000000000005,106,3,1,1,Loyal Lapsed
222,01f70675-a478-4add-acfe-3529ffa24692,74.4,4,18.6,35,2,2,2,Lappsed
223,01f9fa9f-c44e-4617-972b-352b5acb50ec,433.49999999999966,10,43.349999999999966,32,2,1,1,Big spenders
224,02001c13-0e54-4eea-a676-357bc857d70b,0.0,1,0.0,32,2,3,3,Lappsed
225,02008e71-2911-4eb0-8fa0-355c32541a05,8.0,2,4.0,116,3,2,3,Inactive Accounts
226,0200e039-b35a-47ae-979c-3553273da96a,110.75000000000001,5,22.150000000000002,53,2,1,1,Big spenders
227,0202627b-32a5-4268-8a0e-35774679b28e,69.60000000000001,4,17.400000000000002,6,1,2,2,Recent low value
228,0203451d-80af-472e-a583-3562a3e5a0d1,184.49999999999991,5,36.899999999999984,42,2,1,1,Big spenders
229,0204edb2-3c79-4738-9472-354f5cf63b68,86.8,4,21.7,76,3,2,1,Inactive Accounts
230,0209fca4-8c3a-4f68-8a3b-3581b614fd47,4.35,1,4.35,2,1,3,3,Recent low value
231,020b15dd-e14b-4f77-84e0-3526593e7b94,43.800000000000004,4,10.950000000000001,19,1,2,2,Recent low value
232,020c3744-606c-4f55-85a3-3581226bbf47,38.6,2,19.3,5,1,2,2,Recent low value
233,0211f66a-1bf8-4592-a2ac-35650509625a,123.99999999999994,4,30.999999999999986,19,1,2,1,Big spenders
234,02141d88-2c66-4bb9-b73c-353b2d9614db,3.95,1,3.95,56,2,3,3,Lappsed
235,02167ad8-50e9-4a79-b013-352d6ddad734,141.6,4,35.4,19,1,2,1,Big spenders
236,0217470f-cc96-4a7d-8de3-352be9987230,126.50000000000003,5,25.300000000000004,61,2,1,1,Big spenders
237,021786b4-23a3-48eb-86bc-353f4e831c2f,68.00000000000001,4,17.000000000000004,2,1,2,2,Recent low value
238,021b5fd4-c358-46ed-9a23-357fb2e4cf2c,6.9,1,6.9,12,1,3,3,Recent low value
239,021e5166-7e52-4dc5-b001-3525f8ee1462,384.75,9,42.75,23,2,1,1,Big spenders
240,0220e15d-f89f-4e24-a88a-3577bee4d51e,3.95,1,3.95,52,2,3,3,Lappsed
241,02218b01-102c-46b2-adeb-357b6c92f18d,22.700000000000003,2,11.350000000000001,34,2,2,2,Lappsed
242,0221c2b6-6349-4453-aae6-3525bbaede9f,5547.1999999999525,32,173.34999999999852,19,1,1,1,Best Customers
243,02228c92-af0b-46ab-a42f-3532b94d9072,15.8,2,7.9,24,2,2,3,Lappsed
244,0222ff53-03a2-413d-9682-3565901f8a1d,15.2,1,15.2,54,2,3,2,Lappsed
245,0227e0f8-5889-4565-9d39-356d10e15bd4,504.35000000000025,11,45.85000000000002,16,1,1,1,Best Customers
246,022cf227-399d-422b-a32f-356f3b9dbb59,4.35,1,4.35,87,3,3,3,Inactive Accounts
247,0230fd89-c042-4710-9317-35576b0e5024,5.95,1,5.95,116,3,3,3,Inactive Accounts
248,0231eb10-e16e-4c6f-b239-356074c76894,132.0,4,33.0,66,2,2,1,Big spenders
249,0231f9ce-12d5-4e68-81bb-35432e586e80,16.599999999999998,2,8.299999999999999,36,2,2,2,Lappsed
250,0239a9a5-6cea-4c68-9718-35432b0869df,19.1,1,19.1,113,3,3,2,Inactive Accounts
251,023a760e-3fd9-4f63-9fbc-3555224bf0c3,79.00000000000003,4,19.750000000000007,129,3,2,2,Inactive Accounts
252,023b4b61-5c10-46b6-83d6-3576437cbcf2,23.4,2,11.7,20,1,2,2,Recent low value
253,023ddce2-1d98-48f0-b443-356c2426d5c5,1052.800000000004,14,75.20000000000029,35,2,1,1,Big spenders
254,023ed902-b2b4-45f9-8d57-356e6bb28f51,18.4,2,9.2,44,2,2,2,Lappsed
255,02414739-78b4-459a-aa4c-355b99d77e22,113.99999999999994,6,18.99999999999999,61,2,1,2,Loyal Customers
256,02451f08-3398-4781-80bd-355e64301d29,20.599999999999998,2,10.299999999999999,110,3,2,2,Inactive Accounts
257,02472274-eab5-4dde-b892-35508ae0f3db,18.45,1,18.45,127,3,3,2,Inactive Accounts
258,02481387-0c15-4a78-9d4d-352f6c5cc045,7.7,2,3.85,123,3,2,3,Inactive Accounts
259,024c18c1-a79b-4464-ab18-3528e82f1dd4,1008.6000000000013,12,84.05000000000011,17,1,1,1,Best Customers
260,024d20f2-e523-4409-b7c4-353aef4ffb2b,143.99999999999997,4,35.99999999999999,64,2,2,1,Big spenders
261,024ed121-0c48-41ff-95f9-3579727bcbc5,3.95,1,3.95,44,2,3,3,Lappsed
262,02524b57-50a0-4a01-a3ad-353c54c4e14f,19.2,2,9.6,61,2,2,2,Lappsed
263,02528f10-18a7-41b2-9e04-3572c3195d13,280.34999999999957,9,31.149999999999952,44,2,1,1,Big spenders
264,025ef66c-5779-4dc9-9de4-356bbc8a30c5,15.8,2,7.9,113,3,2,3,Inactive Accounts
265,0262e04d-8bdd-44cd-906a-3561dd86c575,16.6,2,8.3,70,3,2,2,Inactive Accounts
266,0263587d-14ed-4544-991e-357c95f50607,16.05,3,5.3500000000000005,8,1,2,3,Recent low value
267,0264a90c-d68a-4e55-9217-352bd5f07754,63.40000000000002,4,15.850000000000005,76,3,2,2,Inactive Accounts
268,026642a7-1d45-42ca-857c-353630ba95c0,2.0,1,2.0,20,1,3,3,Recent low value
269,02685684-488c-42d5-a036-356a71ad9abc,7.35,1,7.35,120,3,3,3,Inactive Accounts
270,026a7a7f-7255-4d93-b086-357f478b4195,4.35,1,4.35,11,1,3,3,Recent low value
271,026ada8d-1eb0-428e-93cf-357cbe9a6cb9,3.95,1,3.95,27,2,3,3,Lappsed
272,026f5d57-2e16-4d0b-9f64-3572f8f79cfc,30.9,3,10.299999999999999,9,1,2,2,Recent low value
273,026f66df-5e80-4b48-b5ee-356534aa74ab,76.25000000000003,5,15.250000000000005,99,3,1,2,Loyal Lapsed
274,027114ad-1c77-4258-a2ce-357a073b2399,16.6,2,8.3,40,2,2,2,Lappsed
275,02742b6c-7f45-4f58-ac36-357969bb2e0b,27.6,2,13.8,44,2,2,2,Lappsed
